date,price,qty,trnvr,cum_trnvr
2025-08-01 09:15:01 AM,720.2,304,218940.80000000002,218940.80000000002
2025-08-01 09:15:02 AM,720.05,0,0.0,218940.80000000002
2025-08-01 09:15:03 AM,720.05,8,5760.4,224701.2
2025-08-01 09:15:11 AM,722.3,0,0.0,224701.2
2025-08-01 09:15:13 AM,722.3,2762,1994992.5999999999,2219693.8
2025-08-01 09:15:15 AM,720.2,34,24486.800000000003,2244180.5999999996
2025-08-01 09:15:20 AM,718.6,0,0.0,2244180.5999999996
2025-08-01 09:15:23 AM,719.3,619,445246.69999999995,2689427.3
2025-08-01 09:15:27 AM,717.8,0,0.0,2689427.3
2025-08-01 09:15:32 AM,717.8,196,140688.8,2830116.0999999996
2025-08-01 09:15:33 AM,718.15,151,108440.65,2938556.7499999995
2025-08-01 09:15:35 AM,718.95,0,0.0,2938556.7499999995
2025-08-01 09:15:40 AM,717.85,1284,921719.4,3860276.1499999994
2025-08-01 09:15:42 AM,716.8,444,318259.19999999995,4178535.3499999996
2025-08-01 09:15:44 AM,719.0,0,0.0,4178535.3499999996
2025-08-01 09:15:49 AM,719.0,461,331459.0,4509994.35
2025-08-01 09:15:50 AM,718.3,118,84759.4,4594753.75
2025-08-01 09:15:53 AM,717.05,0,0.0,4594753.75
2025-08-01 09:15:57 AM,717.8,137,98338.59999999999,4693092.35
2025-08-01 09:15:59 AM,717.0,64,45888.0,4738980.35
2025-08-01 09:16:02 AM,717.85,0,0.0,4738980.35
2025-08-01 09:16:05 AM,717.85,236,169412.6,4908392.949999999
2025-08-01 09:16:07 AM,716.8,2316,1660108.7999999998,6568501.749999999
2025-08-01 09:16:09 AM,716.6,0,0.0,6568501.749999999
2025-08-01 09:16:13 AM,716.6,127,91008.2,6659509.949999999
2025-08-01 09:16:15 AM,716.05,0,0.0,6659509.949999999
2025-08-01 09:16:18 AM,716.15,0,0.0,6659509.949999999
2025-08-01 09:16:21 AM,716.15,826,591539.9,7251049.85
2025-08-01 09:16:23 AM,716.15,256,183334.4,7434384.25
2025-08-01 09:16:28 AM,717.35,0,0.0,7434384.25
2025-08-01 09:16:30 AM,717.35,248,177902.80000000002,7612287.05
2025-08-01 09:16:31 AM,716.75,60,43005.0,7655292.05
2025-08-01 09:16:38 AM,718.15,100,71815.0,7727107.05
2025-08-01 09:16:46 AM,717.6,78,55972.8,7783079.85
2025-08-01 09:16:47 AM,717.6,15,10764.0,7793843.85
2025-08-01 09:16:54 AM,717.85,68,48813.8,7842657.649999999
2025-08-01 09:16:56 AM,717.1,32,22947.2,7865604.85
2025-08-01 09:17:02 AM,717.0,215,154155.0,8019759.85
2025-08-01 09:17:05 AM,716.45,0,0.0,8019759.85
2025-08-01 09:17:11 AM,717.25,38,27255.5,8047015.35
2025-08-01 09:17:24 AM,717.15,0,0.0,8047015.35
2025-08-01 09:17:27 AM,717.15,28,20080.2,8067095.55
2025-08-01 09:17:32 AM,717.0,0,0.0,8067095.55
2025-08-01 09:17:35 AM,717.5,45,32287.5,8099383.05
2025-08-01 09:17:44 AM,717.0,71,50907.0,8150290.05
2025-08-01 09:17:45 AM,717.0,12,8604.0,8158894.05
2025-08-01 09:17:48 AM,717.3,0,0.0,8158894.05
2025-08-01 09:17:52 AM,717.65,397,284907.05,8443801.1
2025-08-01 09:17:56 AM,717.0,0,0.0,8443801.1
2025-08-01 09:18:00 AM,716.55,805,576822.75,9020623.85
2025-08-01 09:18:01 AM,716.4,194,138981.6,9159605.45
2025-08-01 09:18:04 AM,717.4,0,0.0,9159605.45
2025-08-01 09:18:09 AM,717.4,237,170023.8,9329629.25
2025-08-01 09:18:12 AM,716.55,0,0.0,9329629.25
2025-08-01 09:18:14 AM,717.0,0,0.0,9329629.25
2025-08-01 09:18:17 AM,717.0,105,75285.0,9404914.25
2025-08-01 09:18:20 AM,716.55,0,0.0,9404914.25
2025-08-01 09:18:22 AM,717.5,0,0.0,9404914.25
2025-08-01 09:18:25 AM,717.8,129,92596.2,9497510.45
2025-08-01 09:18:27 AM,717.15,20,14343.0,9511853.45
2025-08-01 09:18:28 AM,717.75,0,0.0,9511853.45
2025-08-01 09:18:33 AM,717.9,241,173013.9,9684867.35
2025-08-01 09:18:35 AM,718.45,8,5747.6,9690614.95
2025-08-01 09:18:36 AM,717.45,0,0.0,9690614.95
2025-08-01 09:18:42 AM,717.45,42,30132.9,9720747.85
2025-08-01 09:18:43 AM,717.45,32,22958.4,9743706.25
2025-08-01 09:18:50 AM,717.9,4,2871.6,9746577.85
2025-08-01 09:18:58 AM,718.0,8,5744.0,9752321.85
2025-08-01 09:19:00 AM,717.3,0,0.0,9752321.85
2025-08-01 09:19:06 AM,717.9,21,15075.9,9767397.75
2025-08-01 09:19:10 AM,719.2,0,0.0,9767397.75
2025-08-01 09:19:14 AM,718.65,505,362918.25,10130316.0
2025-08-01 09:19:15 AM,717.95,64,45948.8,10176264.8
2025-08-01 09:19:18 AM,718.8,0,0.0,10176264.8
2025-08-01 09:19:22 AM,718.75,67,48156.25,10224421.05
2025-08-01 09:19:30 AM,719.6,241,173423.6,10397844.65
2025-08-01 09:19:33 AM,719.45,0,0.0,10397844.65
2025-08-01 09:19:38 AM,719.45,26,18705.7,10416550.35
2025-08-01 09:19:40 AM,719.45,35,25180.75,10441731.1
2025-08-01 09:19:46 AM,719.45,397,285621.65,10727352.75
2025-08-01 09:19:48 AM,719.45,76,54678.200000000004,10782030.95
2025-08-01 09:20:02 AM,719.75,1,719.75,10782750.7
2025-08-01 09:20:02 AM,719.45,0,0.0,10782750.7
2025-08-01 09:20:04 AM,719.0,2167,1558073.0,12340823.7
2025-08-01 09:20:12 AM,719.0,18,12942.0,12353765.7
2025-08-01 09:20:16 AM,718.15,0,0.0,12353765.7
2025-08-01 09:20:18 AM,718.15,626,449561.89999999997,12803327.6
2025-08-01 09:20:18 AM,717.5,0,0.0,12803327.6
2025-08-01 09:20:20 AM,717.5,152,109060.0,12912387.6
2025-08-01 09:20:23 AM,718.25,0,0.0,12912387.6
2025-08-01 09:20:26 AM,718.25,67,48122.75,12960510.35
2025-08-01 09:20:30 AM,719.05,0,0.0,12960510.35
2025-08-01 09:20:34 AM,719.05,85,61119.24999999999,13021629.6
2025-08-01 09:20:35 AM,719.05,8,5752.4,13027382.0
2025-08-01 09:20:37 AM,719.1,0,0.0,13027382.0
2025-08-01 09:20:41 AM,719.4,0,0.0,13027382.0
2025-08-01 09:20:42 AM,719.4,26,18704.399999999998,13046086.4
2025-08-01 09:20:43 AM,718.9,12,8626.8,13054713.200000001
2025-08-01 09:20:51 AM,718.5,4,2874.0,13057587.200000001
2025-08-01 09:21:02 AM,719.0,0,0.0,13057587.200000001
2025-08-01 09:21:05 AM,719.0,175,125825.0,13183412.200000001
2025-08-01 09:21:06 AM,718.2,28,20109.600000000002,13203521.8
2025-08-01 09:21:09 AM,718.35,0,0.0,13203521.8
2025-08-01 09:21:13 AM,718.35,17,12211.95,13215733.75
2025-08-01 09:21:16 AM,718.1,0,0.0,13215733.75
2025-08-01 09:21:21 AM,718.8,53,38096.399999999994,13253830.15
2025-08-01 09:21:22 AM,718.05,6,4308.299999999999,13258138.450000001
2025-08-01 09:21:29 AM,718.15,5,3590.75,13261729.200000001
2025-08-01 09:21:36 AM,717.35,162,116210.7,13377939.9
2025-08-01 09:21:39 AM,717.25,0,0.0,13377939.9
2025-08-01 09:21:41 AM,717.2,0,0.0,13377939.9
2025-08-01 09:21:44 AM,717.2,120,86064.0,13464003.9
2025-08-01 09:21:45 AM,717.2,27,19364.4,13483368.3
2025-08-01 09:21:55 AM,717.9,0,0.0,13483368.3
2025-08-01 09:21:59 AM,717.9,13,9332.699999999999,13492701.0
2025-08-01 09:22:00 AM,717.9,4,2871.6,13495572.6
2025-08-01 09:22:05 AM,718.1,0,0.0,13495572.6
2025-08-01 09:22:07 AM,718.1,12,8617.2,13504189.799999999
2025-08-01 09:22:08 AM,717.4,9,6456.599999999999,13510646.399999999
2025-08-01 09:22:23 AM,717.4,17,12195.8,13522842.2
2025-08-01 09:22:30 AM,717.4,17,12195.8,13535038.0
2025-08-01 09:22:37 AM,717.4,8,5739.2,13540777.2
2025-08-01 09:22:40 AM,717.8,0,0.0,13540777.2
2025-08-01 09:22:45 AM,717.2,118,84629.6,13625406.799999999
2025-08-01 09:22:50 AM,717.55,0,0.0,13625406.799999999
2025-08-01 09:22:52 AM,717.55,32,22961.6,13648368.399999999
2025-08-01 09:22:54 AM,717.75,142,101920.5,13750288.899999999
2025-08-01 09:22:57 AM,717.1,0,0.0,13750288.899999999
2025-08-01 09:23:00 AM,717.1,277,198636.7,13948925.599999998
2025-08-01 09:23:02 AM,717.05,88,63100.399999999994,14012025.999999998
2025-08-01 09:23:09 AM,716.9,16,11470.4,14023496.399999999
2025-08-01 09:23:15 AM,717.35,29,20803.15,14044299.549999999
2025-08-01 09:23:17 AM,716.9,12,8602.8,14052902.35
2025-08-01 09:23:19 AM,717.25,0,0.0,14052902.35
2025-08-01 09:23:23 AM,717.25,5,3586.25,14056488.6
2025-08-01 09:23:46 AM,717.25,2,1434.5,14057923.1
2025-08-01 09:23:47 AM,717.35,5,3586.75,14061509.85
2025-08-01 09:23:55 AM,717.0,6,4302.0,14065811.85
2025-08-01 09:23:57 AM,717.35,0,0.0,14065811.85
2025-08-01 09:24:01 AM,717.85,8,5742.8,14071554.65
2025-08-01 09:24:03 AM,718.0,2000,1436000.0,15507554.65
2025-08-01 09:24:10 AM,717.85,253,181616.05000000002,15689170.700000001
2025-08-01 09:24:16 AM,717.2,1,717.2,15689887.9
2025-08-01 09:24:23 AM,717.0,0,0.0,15689887.9
2025-08-01 09:24:24 AM,717.0,55,39435.0,15729322.9
2025-08-01 09:24:26 AM,716.8,12,8601.599999999999,15737924.5
2025-08-01 09:24:29 AM,717.2,0,0.0,15737924.5
2025-08-01 09:24:32 AM,717.2,1,717.2,15738641.7
2025-08-01 09:24:47 AM,718.35,467,335469.45,16074111.149999999
2025-08-01 09:24:49 AM,718.1,147,105560.7,16179671.849999998
2025-08-01 09:24:54 AM,718.8,250,179700.0,16359371.849999998
2025-08-01 09:24:55 AM,718.1,0,0.0,16359371.849999998
2025-08-01 09:24:56 AM,718.1,109,78272.90000000001,16437644.749999998
2025-08-01 09:25:04 AM,718.1,17,12207.7,16449852.449999997
2025-08-01 09:25:08 AM,716.85,0,0.0,16449852.449999997
2025-08-01 09:25:09 AM,716.85,65,46595.25,16496447.699999997
2025-08-01 09:25:15 AM,718.1,0,0.0,16496447.699999997
2025-08-01 09:25:17 AM,718.1,214,153673.4,16650121.099999998
2025-08-01 09:25:19 AM,717.4,36,25826.399999999998,16675947.499999998
2025-08-01 09:25:32 AM,717.45,10,7174.5,16683121.999999998
2025-08-01 09:25:32 AM,717.0,0,0.0,16683121.999999998
2025-08-01 09:25:34 AM,717.0,4,2868.0,16685989.999999998
2025-08-01 09:25:38 AM,717.35,0,0.0,16685989.999999998
2025-08-01 09:25:39 AM,717.35,1,717.35,16686707.349999998
2025-08-01 09:25:54 AM,716.95,1,716.95,16687424.299999997
2025-08-01 09:26:25 AM,716.65,138,98897.7,16786321.999999996
2025-08-01 09:26:26 AM,716.6,0,0.0,16786321.999999996
2025-08-01 09:26:27 AM,716.6,24,17198.4,16803520.399999995
2025-08-01 09:26:31 AM,716.8,0,0.0,16803520.399999995
2025-08-01 09:26:32 AM,716.8,14,10035.199999999999,16813555.599999994
2025-08-01 09:26:33 AM,716.7,0,0.0,16813555.599999994
2025-08-01 09:26:34 AM,716.7,12,8600.400000000001,16822155.999999993
2025-08-01 09:26:36 AM,717.35,0,0.0,16822155.999999993
2025-08-01 09:26:40 AM,717.45,84,60265.8,16882421.799999993
2025-08-01 09:26:55 AM,717.45,34,24393.300000000003,16906815.099999994
2025-08-01 09:26:59 AM,717.65,0,0.0,16906815.099999994
2025-08-01 09:27:03 AM,717.65,3,2152.95,16908968.049999993
2025-08-01 09:27:16 AM,717.15,0,0.0,16908968.049999993
2025-08-01 09:27:18 AM,717.15,12,8605.8,16917573.849999994
2025-08-01 09:27:22 AM,717.8,0,0.0,16917573.849999994
2025-08-01 09:27:25 AM,717.8,107,76804.59999999999,16994378.449999996
2025-08-01 09:27:26 AM,717.2,9,6454.8,17000833.249999996
2025-08-01 09:27:26 AM,718.0,0,0.0,17000833.249999996
2025-08-01 09:27:32 AM,718.0,100,71800.0,17072633.249999996
2025-08-01 09:27:34 AM,717.3,22,15780.599999999999,17088413.849999998
2025-08-01 09:27:41 AM,717.6,0,0.0,17088413.849999998
2025-08-01 09:27:46 AM,717.4,0,0.0,17088413.849999998
2025-08-01 09:27:47 AM,717.4,46,33000.4,17121414.249999996
2025-08-01 09:27:55 AM,717.6,4,2870.4,17124284.649999995
2025-08-01 09:28:18 AM,717.6,5,3588.0,17127872.649999995
2025-08-01 09:28:20 AM,717.2,0,0.0,17127872.649999995
2025-08-01 09:28:25 AM,716.7,0,0.0,17127872.649999995
2025-08-01 09:28:26 AM,716.7,461,330398.7,17458271.349999994
2025-08-01 09:28:27 AM,716.6,126,90291.6,17548562.949999996
2025-08-01 09:28:31 AM,716.75,0,0.0,17548562.949999996
2025-08-01 09:28:34 AM,716.75,5,3583.75,17552146.699999996
2025-08-01 09:28:35 AM,716.75,28,20069.0,17572215.699999996
2025-08-01 09:28:41 AM,716.75,19,13618.25,17585833.949999996
2025-08-01 09:28:42 AM,717.0,0,0.0,17585833.949999996
2025-08-01 09:28:42 AM,716.75,83,59490.25,17645324.199999996
2025-08-01 09:28:49 AM,716.8,20,14336.0,17659660.199999996
2025-08-01 09:28:50 AM,716.8,24,17203.199999999997,17676863.399999995
2025-08-01 09:28:53 AM,717.25,0,0.0,17676863.399999995
2025-08-01 09:28:56 AM,717.3,3,2151.8999999999996,17679015.299999993
2025-08-01 09:29:00 AM,717.75,0,0.0,17679015.299999993
2025-08-01 09:29:04 AM,717.75,2,1435.5,17680450.799999993
2025-08-01 09:29:05 AM,717.3,0,0.0,17680450.799999993
2025-08-01 09:29:05 AM,717.3,12,8607.599999999999,17689058.399999995
2025-08-01 09:29:13 AM,716.9,4,2867.6,17691925.999999996
2025-08-01 09:29:34 AM,716.65,5,3583.25,17695509.249999996
2025-08-01 09:29:36 AM,716.6,2,1433.2,17696942.449999996
2025-08-01 09:29:46 AM,717.3,0,0.0,17696942.449999996
2025-08-01 09:29:49 AM,717.3,387,277595.1,17974537.549999997
2025-08-01 09:29:50 AM,716.65,36,25799.399999999998,18000336.949999996
2025-08-01 09:29:57 AM,716.65,44,31532.6,18031869.549999997
2025-08-01 09:30:03 AM,716.9,0,0.0,18031869.549999997
2025-08-01 09:30:04 AM,716.65,0,0.0,18031869.549999997
2025-08-01 09:30:04 AM,716.65,20,14333.0,18046202.549999997
2025-08-01 09:30:10 AM,716.6,0,0.0,18046202.549999997
2025-08-01 09:30:12 AM,716.6,5,3583.0,18049785.549999997
2025-08-01 09:30:20 AM,716.85,2,1433.7,18051219.249999996
2025-08-01 09:30:20 AM,716.9,10,7169.0,18058388.249999996
2025-08-01 09:30:24 AM,716.6,0,0.0,18058388.249999996
2025-08-01 09:30:27 AM,716.85,190,136201.5,18194589.749999996
2025-08-01 09:30:31 AM,716.75,0,0.0,18194589.749999996
2025-08-01 09:30:34 AM,716.75,63,45155.25,18239744.999999996
2025-08-01 09:30:35 AM,717.0,1,717.0,18240461.999999996
2025-08-01 09:30:42 AM,717.0,22,15774.0,18256235.999999996
2025-08-01 09:30:50 AM,717.0,7,5019.0,18261254.999999996
2025-08-01 09:31:07 AM,716.65,0,0.0,18261254.999999996
2025-08-01 09:31:11 AM,716.65,114,81698.09999999999,18342953.099999998
2025-08-01 09:31:15 AM,716.6,0,0.0,18342953.099999998
2025-08-01 09:31:19 AM,716.6,5,3583.0,18346536.099999998
2025-08-01 09:31:26 AM,716.8,1,716.8,18347252.9
2025-08-01 09:31:33 AM,716.8,10,7168.0,18354420.9
2025-08-01 09:31:38 AM,716.25,0,0.0,18354420.9
2025-08-01 09:31:40 AM,716.25,17,12176.25,18366597.15
2025-08-01 09:31:44 AM,716.1,0,0.0,18366597.15
2025-08-01 09:31:47 AM,716.1,564,403880.4,18770477.549999997
2025-08-01 09:31:49 AM,716.0,0,0.0,18770477.549999997
2025-08-01 09:31:54 AM,716.0,249,178284.0,18948761.549999997
2025-08-01 09:31:59 AM,715.75,0,0.0,18948761.549999997
2025-08-01 09:32:01 AM,716.1,76,54423.6,19003185.15
2025-08-01 09:32:04 AM,715.75,0,0.0,19003185.15
2025-08-01 09:32:08 AM,715.75,155,110941.25,19114126.4
2025-08-01 09:32:15 AM,715.75,34,24335.5,19138461.9
2025-08-01 09:32:22 AM,715.7,0,0.0,19138461.9
2025-08-01 09:32:22 AM,715.7,13,9304.1,19147766.0
2025-08-01 09:32:29 AM,715.7,207,148149.90000000002,19295915.9
2025-08-01 09:32:34 AM,715.8,0,0.0,19295915.9
2025-08-01 09:32:36 AM,715.8,67,47958.6,19343874.5
2025-08-01 09:32:43 AM,715.8,395,282741.0,19626615.5
2025-08-01 09:32:50 AM,715.8,90,64421.99999999999,19691037.5
2025-08-01 09:32:57 AM,715.55,20,14311.0,19705348.5
2025-08-01 09:33:10 AM,715.3,0,0.0,19705348.5
2025-08-01 09:33:11 AM,715.3,204,145921.19999999998,19851269.7
2025-08-01 09:33:15 AM,716.0,0,0.0,19851269.7
2025-08-01 09:33:18 AM,716.0,66,47256.0,19898525.7
2025-08-01 09:33:25 AM,715.95,0,0.0,19898525.7
2025-08-01 09:33:30 AM,716.05,0,0.0,19898525.7
2025-08-01 09:33:31 AM,716.05,24,17185.199999999997,19915710.9
2025-08-01 09:33:38 AM,716.05,13,9308.65,19925019.549999997
2025-08-01 09:33:40 AM,716.25,0,0.0,19925019.549999997
2025-08-01 09:33:45 AM,716.95,72,51620.4,19976639.949999996
2025-08-01 09:33:48 AM,717.05,0,0.0,19976639.949999996
2025-08-01 09:33:50 AM,717.0,0,0.0,19976639.949999996
2025-08-01 09:33:52 AM,717.0,11,7887.0,19984526.949999996
2025-08-01 09:34:00 AM,717.3,0,0.0,19984526.949999996
2025-08-01 09:34:05 AM,717.0,0,0.0,19984526.949999996
2025-08-01 09:34:06 AM,717.0,142,101814.0,20086340.949999996
2025-08-01 09:34:10 AM,716.15,0,0.0,20086340.949999996
2025-08-01 09:34:13 AM,716.15,99,70898.84999999999,20157239.799999997
2025-08-01 09:34:15 AM,716.25,0,0.0,20157239.799999997
2025-08-01 09:34:20 AM,716.25,46,32947.5,20190187.299999997
2025-08-01 09:34:30 AM,716.9,0,0.0,20190187.299999997
2025-08-01 09:34:34 AM,717.0,200,143400.0,20333587.299999997
2025-08-01 09:34:35 AM,716.9,0,0.0,20333587.299999997
2025-08-01 09:34:40 AM,717.1,0,0.0,20333587.299999997
2025-08-01 09:34:41 AM,717.1,5,3585.5,20337172.799999997
2025-08-01 09:34:55 AM,717.1,23,16493.3,20353666.099999998
2025-08-01 09:35:00 AM,716.85,0,0.0,20353666.099999998
2025-08-01 09:35:02 AM,717.0,52,37284.0,20390950.099999998
2025-08-01 09:35:16 AM,717.0,5,3585.0,20394535.099999998
2025-08-01 09:35:25 AM,716.95,0,0.0,20394535.099999998
2025-08-01 09:35:30 AM,716.95,7,5018.650000000001,20399553.749999996
2025-08-01 09:35:50 AM,716.95,1,716.95,20400270.699999996
2025-08-01 09:36:11 AM,717.4,500,358700.0,20758970.699999996
2025-08-01 09:36:16 AM,716.2,0,0.0,20758970.699999996
2025-08-01 09:36:17 AM,716.2,114,81646.8,20840617.499999996
2025-08-01 09:36:30 AM,716.95,300,215085.0,21055702.499999996
2025-08-01 09:36:36 AM,717.0,0,0.0,21055702.499999996
2025-08-01 09:36:37 AM,717.0,5,3585.0,21059287.499999996
2025-08-01 09:36:43 AM,716.9,10,7169.0,21066456.499999996
2025-08-01 09:36:50 AM,716.9,33,23657.7,21090114.199999996
2025-08-01 09:36:52 AM,717.3,0,0.0,21090114.199999996
2025-08-01 09:36:56 AM,717.0,0,0.0,21090114.199999996
2025-08-01 09:36:56 AM,717.0,202,144834.0,21234948.199999996
2025-08-01 09:36:57 AM,717.45,500,358725.0,21593673.199999996
2025-08-01 09:37:04 AM,716.2,0,0.0,21593673.199999996
2025-08-01 09:37:10 AM,716.2,152,108862.40000000001,21702535.599999994
2025-08-01 09:37:11 AM,716.55,1,716.55,21703252.149999995
2025-08-01 09:37:23 AM,715.8,0,0.0,21703252.149999995
2025-08-01 09:37:24 AM,715.8,121,86611.79999999999,21789863.949999996
2025-08-01 09:37:38 AM,715.85,0,0.0,21789863.949999996
2025-08-01 09:37:38 AM,715.85,19,13601.15,21803465.099999994
2025-08-01 09:37:51 AM,715.85,28,20043.8,21823508.899999995
2025-08-01 09:37:58 AM,715.85,1,715.85,21824224.749999996
2025-08-01 09:38:05 AM,715.8,0,0.0,21824224.749999996
2025-08-01 09:38:05 AM,715.8,3,2147.3999999999996,21826372.149999995
2025-08-01 09:38:25 AM,715.35,480,343368.0,22169740.149999995
2025-08-01 09:38:30 AM,715.05,0,0.0,22169740.149999995
2025-08-01 09:38:32 AM,715.0,2043,1460745.0,23630485.149999995
2025-08-01 09:38:35 AM,714.0,0,0.0,23630485.149999995
2025-08-01 09:38:39 AM,714.0,633,451962.0,24082447.149999995
2025-08-01 09:38:40 AM,714.2,0,0.0,24082447.149999995
2025-08-01 09:38:45 AM,714.2,184,131412.80000000002,24213859.949999996
2025-08-01 09:38:48 AM,714.0,0,0.0,24213859.949999996
2025-08-01 09:38:52 AM,714.2,67,47851.4,24261711.349999994
2025-08-01 09:38:56 AM,714.25,0,0.0,24261711.349999994
2025-08-01 09:38:58 AM,714.25,37,26427.25,24288138.599999994
2025-08-01 09:39:00 AM,714.35,0,0.0,24288138.599999994
2025-08-01 09:39:05 AM,714.3,102,72858.59999999999,24360997.199999996
2025-08-01 09:39:10 AM,714.15,0,0.0,24360997.199999996
2025-08-01 09:39:12 AM,714.15,65,46419.75,24407416.949999996
2025-08-01 09:39:20 AM,714.35,0,0.0,24407416.949999996
2025-08-01 09:39:25 AM,714.05,0,0.0,24407416.949999996
2025-08-01 09:39:25 AM,714.05,216,154234.8,24561651.749999996
2025-08-01 09:39:29 AM,713.45,0,0.0,24561651.749999996
2025-08-01 09:39:32 AM,713.45,80,57076.0,24618727.749999996
2025-08-01 09:39:45 AM,713.95,8,5711.6,24624439.349999998
2025-08-01 09:39:49 AM,714.05,0,0.0,24624439.349999998
2025-08-01 09:39:52 AM,714.05,4,2856.2,24627295.549999997
2025-08-01 09:39:57 AM,714.15,0,0.0,24627295.549999997
2025-08-01 09:39:58 AM,714.05,0,0.0,24627295.549999997
2025-08-01 09:39:58 AM,714.05,57,40700.85,24667996.4
2025-08-01 09:40:05 AM,714.05,21,14995.05,24682991.45
2025-08-01 09:40:15 AM,713.5,0,0.0,24682991.45
2025-08-01 09:40:17 AM,714.0,0,0.0,24682991.45
2025-08-01 09:40:18 AM,714.0,1009,720426.0,25403417.45
2025-08-01 09:40:22 AM,713.0,0,0.0,25403417.45
2025-08-01 09:40:24 AM,713.0,288,205344.0,25608761.45
2025-08-01 09:40:27 AM,713.5,0,0.0,25608761.45
2025-08-01 09:40:31 AM,713.5,50,35675.0,25644436.45
2025-08-01 09:40:32 AM,713.0,0,0.0,25644436.45
2025-08-01 09:40:38 AM,713.0,20,14260.0,25658696.45
2025-08-01 09:40:44 AM,712.8,342,243777.59999999998,25902474.05
2025-08-01 09:40:48 AM,712.7,0,0.0,25902474.05
2025-08-01 09:40:51 AM,713.1,93,66318.3,25968792.35
2025-08-01 09:40:57 AM,712.65,1,712.65,25969505.0
2025-08-01 09:41:03 AM,712.55,0,0.0,25969505.0
2025-08-01 09:41:04 AM,712.55,59,42040.45,26011545.45
2025-08-01 09:41:08 AM,712.9,0,0.0,26011545.45
2025-08-01 09:41:11 AM,712.7,8,5701.6,26017247.05
2025-08-01 09:41:16 AM,712.65,0,0.0,26017247.05
2025-08-01 09:41:18 AM,712.65,208,148231.19999999998,26165478.25
2025-08-01 09:41:24 AM,712.75,40,28510.0,26193988.25
2025-08-01 09:41:24 AM,712.25,0,0.0,26193988.25
2025-08-01 09:41:25 AM,712.25,886,631053.5,26825041.75
2025-08-01 09:41:28 AM,712.0,0,0.0,26825041.75
2025-08-01 09:41:31 AM,712.0,358,254896.0,27079937.75
2025-08-01 09:41:36 AM,711.95,0,0.0,27079937.75
2025-08-01 09:41:37 AM,711.95,111,79026.45000000001,27158964.2
2025-08-01 09:41:44 AM,710.45,1282,910796.9,28069761.099999998
2025-08-01 09:41:48 AM,710.55,0,0.0,28069761.099999998
2025-08-01 09:41:50 AM,710.55,268,190427.4,28260188.499999996
2025-08-01 09:41:56 AM,710.05,0,0.0,28260188.499999996
2025-08-01 09:41:57 AM,710.05,666,472893.3,28733081.799999997
2025-08-01 09:42:00 AM,710.15,0,0.0,28733081.799999997
2025-08-01 09:42:03 AM,709.95,973,690781.3500000001,29423863.15
2025-08-01 09:42:04 AM,709.3,0,0.0,29423863.15
2025-08-01 09:42:09 AM,709.35,0,0.0,29423863.15
2025-08-01 09:42:10 AM,708.7,437,309701.9,29733565.049999997
2025-08-01 09:42:13 AM,709.3,0,0.0,29733565.049999997
2025-08-01 09:42:16 AM,709.3,540,383022.0,30116587.049999997
2025-08-01 09:42:17 AM,709.8,0,0.0,30116587.049999997
2025-08-01 09:42:18 AM,709.8,5,3549.0,30120136.049999997
2025-08-01 09:42:21 AM,709.3,0,0.0,30120136.049999997
2025-08-01 09:42:23 AM,709.3,80,56744.0,30176880.049999997
2025-08-01 09:42:26 AM,709.6,0,0.0,30176880.049999997
2025-08-01 09:42:30 AM,710.05,165,117158.24999999999,30294038.299999997
2025-08-01 09:42:31 AM,710.5,0,0.0,30294038.299999997
2025-08-01 09:42:31 AM,710.5,50,35525.0,30329563.299999997
2025-08-01 09:42:35 AM,710.05,0,0.0,30329563.299999997
2025-08-01 09:42:36 AM,710.05,10,7100.5,30336663.799999997
2025-08-01 09:42:42 AM,710.5,130,92365.0,30429028.799999997
2025-08-01 09:42:49 AM,710.5,131,93075.5,30522104.299999997
2025-08-01 09:42:55 AM,710.85,0,0.0,30522104.299999997
2025-08-01 09:42:55 AM,710.85,10,7108.5,30529212.799999997
2025-08-01 09:43:02 AM,710.85,13,9241.050000000001,30538453.849999998
2025-08-01 09:43:09 AM,710.85,9,6397.650000000001,30544851.499999996
2025-08-01 09:43:15 AM,710.85,25,17771.25,30562622.749999996
2025-08-01 09:43:35 AM,710.85,2,1421.7,30564044.449999996
2025-08-01 09:43:42 AM,710.85,15,10662.75,30574707.199999996
2025-08-01 09:43:51 AM,710.5,0,0.0,30574707.199999996
2025-08-01 09:43:55 AM,710.5,28,19894.0,30594601.199999996
2025-08-01 09:44:11 AM,710.85,0,0.0,30594601.199999996
2025-08-01 09:44:15 AM,711.1,26,18488.600000000002,30613089.799999997
2025-08-01 09:44:21 AM,711.15,0,0.0,30613089.799999997
2025-08-01 09:44:22 AM,711.15,2,1422.3,30614512.099999998
2025-08-01 09:44:31 AM,711.35,0,0.0,30614512.099999998
2025-08-01 09:44:34 AM,711.15,6,4266.9,30618778.999999996
2025-08-01 09:44:35 AM,711.65,1,711.65,30619490.649999995
2025-08-01 09:44:43 AM,711.7,0,0.0,30619490.649999995
2025-08-01 09:44:47 AM,711.7,51,36296.700000000004,30655787.349999994
2025-08-01 09:44:48 AM,711.7,50,35585.0,30691372.349999994
2025-08-01 09:44:51 AM,711.65,0,0.0,30691372.349999994
2025-08-01 09:44:53 AM,711.65,81,57643.65,30749015.999999993
2025-08-01 09:44:55 AM,711.65,25,17791.25,30766807.249999993
