date,price,qty,trnvr,cum_trnvr
2025-08-01 09:15:00 AM,36.64,5862,214783.68,214783.68
2025-08-01 09:15:00 AM,36.6,0,0.0,214783.68
2025-08-01 09:15:01 AM,36.63,28,1025.64,215809.32
2025-08-01 09:15:01 AM,36.6,0,0.0,215809.32
2025-08-01 09:15:09 AM,36.57,0,0.0,215809.32
2025-08-01 09:15:11 AM,36.57,4099,149900.43,365709.75
2025-08-01 09:15:13 AM,36.77,18358,675023.66,1040733.41
2025-08-01 09:15:23 AM,36.8,5578,205270.4,1246003.81
2025-08-01 09:15:26 AM,36.79,0,0.0,1246003.81
2025-08-01 09:15:30 AM,36.79,426,15672.539999999999,1261676.35
2025-08-01 09:15:32 AM,36.87,2090,77058.29999999999,1338734.6500000001
2025-08-01 09:15:38 AM,36.82,0,0.0,1338734.6500000001
2025-08-01 09:15:39 AM,36.82,2753,101365.46,1440100.11
2025-08-01 09:15:40 AM,36.93,1,36.93,1440137.04
2025-08-01 09:15:46 AM,36.94,0,0.0,1440137.04
2025-08-01 09:15:47 AM,36.94,4,147.76,1440284.8
2025-08-01 09:15:49 AM,37.01,2427,89823.26999999999,1530108.07
2025-08-01 09:15:54 AM,36.95,0,0.0,1530108.07
2025-08-01 09:15:55 AM,36.95,4525,167198.75,1697306.82
2025-08-01 09:16:00 AM,36.96,0,0.0,1697306.82
2025-08-01 09:16:02 AM,36.87,0,0.0,1697306.82
2025-08-01 09:16:03 AM,36.82,4421,162781.22,1860088.04
2025-08-01 09:16:05 AM,36.7,10360,380212.00000000006,2240300.04
2025-08-01 09:16:11 AM,36.75,1034,37999.5,2278299.54
2025-08-01 09:16:13 AM,36.67,455,16684.850000000002,2294984.39
2025-08-01 09:16:16 AM,36.72,0,0.0,2294984.39
2025-08-01 09:16:20 AM,36.68,3765,138100.2,2433084.5900000003
2025-08-01 09:16:24 AM,36.75,0,0.0,2433084.5900000003
2025-08-01 09:16:28 AM,36.73,770,28282.1,2461366.6900000004
2025-08-01 09:16:34 AM,36.78,0,0.0,2461366.6900000004
2025-08-01 09:16:36 AM,36.74,1838,67528.12000000001,2528894.8100000005
2025-08-01 09:16:44 AM,36.76,0,0.0,2528894.8100000005
2025-08-01 09:16:45 AM,36.76,30,1102.8,2529997.6100000003
2025-08-01 09:16:46 AM,36.79,0,0.0,2529997.6100000003
2025-08-01 09:16:53 AM,36.79,533,19609.07,2549606.68
2025-08-01 09:16:54 AM,36.8,100,3679.9999999999995,2553286.68
2025-08-01 09:16:56 AM,36.83,0,0.0,2553286.68
2025-08-01 09:17:01 AM,36.83,1000,36830.0,2590116.68
2025-08-01 09:17:09 AM,36.85,1203,44330.55,2634447.23
2025-08-01 09:17:11 AM,36.86,25,921.5,2635368.73
2025-08-01 09:17:14 AM,36.9,0,0.0,2635368.73
2025-08-01 09:17:18 AM,36.8,23203,853870.3999999999,3489239.13
2025-08-01 09:17:31 AM,36.82,0,0.0,3489239.13
2025-08-01 09:17:34 AM,36.86,159,5860.74,3495099.87
2025-08-01 09:17:35 AM,36.86,1,36.86,3495136.73
2025-08-01 09:17:42 AM,36.79,1417,52131.43,3547268.16
2025-08-01 09:17:51 AM,36.79,5173,190314.66999999998,3737582.83
2025-08-01 09:17:57 AM,36.8,0,0.0,3737582.83
2025-08-01 09:17:59 AM,36.8,952,35033.6,3772616.43
2025-08-01 09:18:00 AM,36.88,2000,73760.0,3846376.43
2025-08-01 09:18:08 AM,36.86,500,18430.0,3864806.43
2025-08-01 09:18:11 AM,36.9,0,0.0,3864806.43
2025-08-01 09:18:16 AM,36.9,2,73.8,3864880.23
2025-08-01 09:18:21 AM,36.92,0,0.0,3864880.23
2025-08-01 09:18:24 AM,36.92,200,7384.0,3872264.23
2025-08-01 09:18:40 AM,36.92,6,221.52,3872485.75
2025-08-01 09:18:48 AM,37.01,5590,206885.9,4079371.65
2025-08-01 09:18:53 AM,37.07,0,0.0,4079371.65
2025-08-01 09:18:57 AM,37.07,19,704.33,4080075.98
2025-08-01 09:18:58 AM,37.02,6,222.12,4080298.1
2025-08-01 09:19:05 AM,36.98,2218,82021.64,4162319.74
2025-08-01 09:19:13 AM,36.98,2,73.96,4162393.7
2025-08-01 09:19:21 AM,36.98,52,1922.9599999999998,4164316.66
2025-08-01 09:19:29 AM,37.0,125,4625.0,4168941.66
2025-08-01 09:19:37 AM,37.02,3145,116427.90000000001,4285369.5600000005
2025-08-01 09:19:45 AM,37.02,2702,100028.04000000001,4385397.600000001
2025-08-01 09:19:53 AM,37.03,1000,37030.0,4422427.600000001
2025-08-01 09:19:55 AM,37.03,1,37.03,4422464.630000001
2025-08-01 09:20:01 AM,37.06,25,926.5,4423391.130000001
2025-08-01 09:20:08 AM,37.07,0,0.0,4423391.130000001
2025-08-01 09:20:09 AM,37.07,52,1927.64,4425318.7700000005
2025-08-01 09:20:09 AM,37.03,0,0.0,4425318.7700000005
2025-08-01 09:20:11 AM,37.05,190,7039.499999999999,4432358.2700000005
2025-08-01 09:20:25 AM,37.05,1,37.05,4432395.32
2025-08-01 09:20:26 AM,37.03,100,3703.0,4436098.32
2025-08-01 09:20:29 AM,37.05,0,0.0,4436098.32
2025-08-01 09:20:33 AM,37.01,2275,84197.75,4520296.07
2025-08-01 09:20:40 AM,37.06,0,0.0,4520296.07
2025-08-01 09:20:41 AM,37.06,400,14824.0,4535120.07
2025-08-01 09:20:43 AM,37.07,0,0.0,4535120.07
2025-08-01 09:20:48 AM,37.07,1000,37070.0,4572190.07
2025-08-01 09:20:56 AM,37.04,64,2370.56,4574560.63
2025-08-01 09:21:01 AM,37.07,0,0.0,4574560.63
2025-08-01 09:21:04 AM,37.07,700,25949.0,4600509.63
2025-08-01 09:21:13 AM,37.05,74,2741.7,4603251.33
2025-08-01 09:21:17 AM,37.07,0,0.0,4603251.33
2025-08-01 09:21:19 AM,37.06,375,13897.5,4617148.83
2025-08-01 09:21:20 AM,37.05,420,15560.999999999998,4632709.83
2025-08-01 09:21:27 AM,37.05,103,3816.1499999999996,4636525.98
2025-08-01 09:21:35 AM,37.05,130,4816.5,4641342.48
2025-08-01 09:21:43 AM,37.05,100,3704.9999999999995,4645047.48
2025-08-01 09:21:50 AM,37.02,209,7737.18,4652784.66
2025-08-01 09:21:54 AM,37.03,0,0.0,4652784.66
2025-08-01 09:21:58 AM,37.03,1,37.03,4652821.69
2025-08-01 09:22:11 AM,37.02,0,0.0,4652821.69
2025-08-01 09:22:13 AM,37.02,825,30541.500000000004,4683363.19
2025-08-01 09:22:14 AM,37.01,63,2331.6299999999997,4685694.82
2025-08-01 09:22:21 AM,37.01,415,15359.15,4701053.970000001
2025-08-01 09:22:28 AM,37.0,445,16465.0,4717518.970000001
2025-08-01 09:22:44 AM,37.0,1500,55500.0,4773018.970000001
2025-08-01 09:22:50 AM,36.97,0,0.0,4773018.970000001
2025-08-01 09:22:51 AM,36.97,395,14603.15,4787622.120000001
2025-08-01 09:22:56 AM,37.0,0,0.0,4787622.120000001
2025-08-01 09:22:59 AM,37.0,5,185.0,4787807.120000001
2025-08-01 09:23:00 AM,36.94,228,8422.32,4796229.440000001
2025-08-01 09:23:03 AM,36.88,0,0.0,4796229.440000001
2025-08-01 09:23:06 AM,36.88,10000,368800.0,5165029.440000001
2025-08-01 09:23:08 AM,36.94,300,11082.0,5176111.440000001
2025-08-01 09:23:10 AM,36.9,0,0.0,5176111.440000001
2025-08-01 09:23:14 AM,36.9,952,35128.799999999996,5211240.240000001
2025-08-01 09:23:22 AM,36.95,300,11085.0,5222325.240000001
2025-08-01 09:23:44 AM,36.87,0,0.0,5222325.240000001
2025-08-01 09:23:44 AM,36.87,672,24776.64,5247101.880000001
2025-08-01 09:23:50 AM,36.91,0,0.0,5247101.880000001
2025-08-01 09:23:52 AM,36.93,1001,36966.93,5284068.8100000005
2025-08-01 09:23:54 AM,36.92,1,36.92,5284105.73
2025-08-01 09:24:00 AM,36.92,10,369.20000000000005,5284474.930000001
2025-08-01 09:24:08 AM,36.91,100,3690.9999999999995,5288165.930000001
2025-08-01 09:24:17 AM,36.92,13,479.96000000000004,5288645.890000001
2025-08-01 09:24:55 AM,36.92,6,221.52,5288867.41
2025-08-01 09:25:00 AM,36.92,3,110.76,5288978.17
2025-08-01 09:25:01 AM,36.88,0,0.0,5288978.17
2025-08-01 09:25:02 AM,36.88,2,73.76,5289051.93
2025-08-01 09:25:08 AM,36.88,215,7929.200000000001,5296981.13
2025-08-01 09:25:38 AM,36.91,154,5684.139999999999,5302665.27
2025-08-01 09:25:53 AM,36.92,27,996.84,5303662.109999999
2025-08-01 09:25:55 AM,36.93,117,4320.81,5307982.919999999
2025-08-01 09:25:55 AM,36.94,0,0.0,5307982.919999999
2025-08-01 09:26:00 AM,36.94,75,2770.5,5310753.419999999
2025-08-01 09:26:01 AM,36.91,0,0.0,5310753.419999999
2025-08-01 09:26:02 AM,36.91,100,3690.9999999999995,5314444.419999999
2025-08-01 09:26:15 AM,36.94,0,0.0,5314444.419999999
2025-08-01 09:26:16 AM,36.94,100,3694.0,5318138.419999999
2025-08-01 09:26:21 AM,36.9,0,0.0,5318138.419999999
2025-08-01 09:26:24 AM,36.9,3004,110847.59999999999,5428986.019999999
2025-08-01 09:26:31 AM,36.9,100,3690.0,5432676.019999999
2025-08-01 09:26:39 AM,36.9,10,369.0,5433045.019999999
2025-08-01 09:27:01 AM,36.9,1,36.9,5433081.919999999
2025-08-01 09:27:09 AM,36.9,100,3690.0,5436771.919999999
2025-08-01 09:27:21 AM,36.92,0,0.0,5436771.919999999
2025-08-01 09:27:24 AM,36.92,597,22041.24,5458813.159999999
2025-08-01 09:27:25 AM,36.93,333,12297.69,5471110.85
2025-08-01 09:27:31 AM,36.93,16,590.88,5471701.7299999995
2025-08-01 09:27:32 AM,36.92,125,4615.0,5476316.7299999995
2025-08-01 09:27:35 AM,36.9,0,0.0,5476316.7299999995
2025-08-01 09:27:38 AM,36.9,33,1217.7,5477534.43
2025-08-01 09:27:46 AM,36.9,34,1254.6,5478789.029999999
2025-08-01 09:27:51 AM,36.92,0,0.0,5478789.029999999
2025-08-01 09:27:54 AM,36.9,325,11992.5,5490781.529999999
2025-08-01 09:28:01 AM,36.92,0,0.0,5490781.529999999
2025-08-01 09:28:02 AM,36.92,118,4356.56,5495138.089999999
2025-08-01 09:28:03 AM,36.92,4,147.68,5495285.769999999
2025-08-01 09:28:07 AM,36.9,0,0.0,5495285.769999999
2025-08-01 09:28:09 AM,36.9,147,5424.3,5500710.069999998
2025-08-01 09:28:11 AM,36.9,1,36.9,5500746.969999999
2025-08-01 09:28:14 AM,36.91,0,0.0,5500746.969999999
2025-08-01 09:28:17 AM,36.91,255,9412.05,5510159.019999999
2025-08-01 09:28:26 AM,36.9,746,27527.399999999998,5537686.419999999
2025-08-01 09:28:30 AM,36.88,0,0.0,5537686.419999999
2025-08-01 09:28:32 AM,36.88,810,29872.800000000003,5567559.219999999
2025-08-01 09:28:40 AM,36.91,187,6902.169999999999,5574461.389999999
2025-08-01 09:28:47 AM,36.91,13,479.8299999999999,5574941.219999999
2025-08-01 09:28:56 AM,36.88,18,663.84,5575605.059999999
2025-08-01 09:29:03 AM,36.9,1205,44464.5,5620069.559999999
2025-08-01 09:29:05 AM,36.95,0,0.0,5620069.559999999
2025-08-01 09:29:10 AM,36.95,136,5025.200000000001,5625094.759999999
2025-08-01 09:29:18 AM,36.95,70,2586.5,5627681.259999999
2025-08-01 09:29:25 AM,36.92,0,0.0,5627681.259999999
2025-08-01 09:29:26 AM,36.92,3129,115522.68000000001,5743203.939999999
2025-08-01 09:29:33 AM,36.95,62,2290.9,5745494.839999999
2025-08-01 09:29:40 AM,36.92,0,0.0,5745494.839999999
2025-08-01 09:29:41 AM,36.92,900,33228.0,5778722.839999999
2025-08-01 09:29:45 AM,36.93,0,0.0,5778722.839999999
2025-08-01 09:29:48 AM,36.93,373,13774.89,5792497.729999999
2025-08-01 09:29:55 AM,36.97,10,369.7,5792867.429999999
2025-08-01 09:30:02 AM,36.94,0,0.0,5792867.429999999
2025-08-01 09:30:03 AM,36.94,100,3694.0,5796561.429999999
2025-08-01 09:30:04 AM,36.93,1,36.93,5796598.3599999985
2025-08-01 09:30:09 AM,36.94,0,0.0,5796598.3599999985
2025-08-01 09:30:11 AM,36.94,249,9198.06,5805796.419999998
2025-08-01 09:30:16 AM,36.91,0,0.0,5805796.419999998
2025-08-01 09:30:18 AM,36.91,100,3690.9999999999995,5809487.419999998
2025-08-01 09:30:23 AM,36.94,0,0.0,5809487.419999998
2025-08-01 09:30:26 AM,36.94,284,10490.96,5819978.379999998
2025-08-01 09:30:33 AM,36.9,3716,137120.4,5957098.779999998
2025-08-01 09:30:41 AM,36.95,5,184.75,5957283.529999998
2025-08-01 09:30:44 AM,36.96,0,0.0,5957283.529999998
2025-08-01 09:30:48 AM,36.96,255,9424.800000000001,5966708.329999998
2025-08-01 09:31:03 AM,36.91,631,23290.21,5989998.539999998
2025-08-01 09:31:14 AM,36.9,0,0.0,5989998.539999998
2025-08-01 09:31:17 AM,36.9,6191,228447.9,6218446.439999999
2025-08-01 09:31:25 AM,36.9,2586,95423.4,6313869.839999999
2025-08-01 09:31:32 AM,36.92,19,701.48,6314571.319999999
2025-08-01 09:31:35 AM,36.91,0,0.0,6314571.319999999
2025-08-01 09:31:39 AM,36.91,10,369.09999999999997,6314940.419999999
2025-08-01 09:31:46 AM,36.92,100,3692.0,6318632.419999999
2025-08-01 09:31:53 AM,36.92,10,369.20000000000005,6319001.619999999
2025-08-01 09:32:03 AM,36.95,0,0.0,6319001.619999999
2025-08-01 09:32:07 AM,36.95,2,73.9,6319075.52
2025-08-01 09:32:21 AM,36.95,50,1847.5000000000002,6320923.02
2025-08-01 09:32:28 AM,36.95,59,2180.05,6323103.069999999
2025-08-01 09:32:33 AM,36.96,0,0.0,6323103.069999999
2025-08-01 09:32:35 AM,36.96,5,184.8,6323287.869999999
2025-08-01 09:32:42 AM,36.96,116,4287.36,6327575.2299999995
2025-08-01 09:32:52 AM,36.99,0,0.0,6327575.2299999995
2025-08-01 09:32:56 AM,36.99,116,4290.84,6331866.069999999
2025-08-01 09:33:02 AM,37.0,244,9028.0,6340894.069999999
2025-08-01 09:33:10 AM,37.0,1,37.0,6340931.069999999
2025-08-01 09:33:16 AM,37.0,8,296.0,6341227.069999999
2025-08-01 09:33:23 AM,37.02,2191,81110.82,6422337.89
2025-08-01 09:33:30 AM,37.04,25,926.0,6423263.89
2025-08-01 09:33:34 AM,37.03,0,0.0,6423263.89
2025-08-01 09:33:37 AM,37.05,211,7817.549999999999,6431081.4399999995
2025-08-01 09:33:44 AM,37.05,2511,93032.54999999999,6524113.989999999
2025-08-01 09:33:58 AM,37.05,5,185.25,6524299.239999999
2025-08-01 09:34:12 AM,37.06,9452,350291.12,6874590.359999999
2025-08-01 09:34:14 AM,37.08,0,0.0,6874590.359999999
2025-08-01 09:34:17 AM,37.1,0,0.0,6874590.359999999
2025-08-01 09:34:19 AM,37.1,312,11575.2,6886165.56
2025-08-01 09:34:22 AM,37.08,0,0.0,6886165.56
2025-08-01 09:34:26 AM,37.08,10,370.79999999999995,6886536.359999999
2025-08-01 09:34:29 AM,37.1,0,0.0,6886536.359999999
2025-08-01 09:34:33 AM,37.1,26,964.6,6887500.959999999
2025-08-01 09:34:39 AM,37.08,0,0.0,6887500.959999999
2025-08-01 09:34:40 AM,37.08,433,16055.64,6903556.599999999
2025-08-01 09:34:47 AM,37.08,200,7416.0,6910972.599999999
2025-08-01 09:35:04 AM,37.05,0,0.0,6910972.599999999
2025-08-01 09:35:08 AM,37.09,105,3894.4500000000003,6914867.049999999
2025-08-01 09:35:08 AM,37.05,9,333.45,6915200.499999999
2025-08-01 09:35:14 AM,37.08,0,0.0,6915200.499999999
2025-08-01 09:35:15 AM,37.08,8,296.64,6915497.139999999
2025-08-01 09:35:19 AM,37.05,0,0.0,6915497.139999999
2025-08-01 09:35:22 AM,37.07,4,148.28,6915645.419999999
2025-08-01 09:35:29 AM,37.04,0,0.0,6915645.419999999
2025-08-01 09:35:29 AM,37.04,575,21298.0,6936943.419999999
2025-08-01 09:35:34 AM,37.03,0,0.0,6936943.419999999
2025-08-01 09:35:36 AM,37.03,304,11257.12,6948200.539999999
2025-08-01 09:35:49 AM,37.0,0,0.0,6948200.539999999
2025-08-01 09:35:49 AM,37.0,225,8325.0,6956525.539999999
2025-08-01 09:35:54 AM,37.03,0,0.0,6956525.539999999
2025-08-01 09:35:56 AM,37.04,301,11149.039999999999,6967674.579999999
2025-08-01 09:36:27 AM,37.05,0,0.0,6967674.579999999
2025-08-01 09:36:29 AM,37.05,2,74.1,6967748.679999999
2025-08-01 09:36:42 AM,37.05,2,74.1,6967822.779999998
2025-08-01 09:36:43 AM,37.04,0,0.0,6967822.779999998
2025-08-01 09:36:47 AM,37.05,0,0.0,6967822.779999998
2025-08-01 09:36:48 AM,37.05,55,2037.7499999999998,6969860.529999998
2025-08-01 09:36:55 AM,37.05,187,6928.349999999999,6976788.879999998
2025-08-01 09:37:02 AM,37.08,10,370.79999999999995,6977159.679999998
2025-08-01 09:37:07 AM,37.09,0,0.0,6977159.679999998
2025-08-01 09:37:08 AM,37.01,0,0.0,6977159.679999998
2025-08-01 09:37:09 AM,37.01,15749,582870.49,7560030.169999998
2025-08-01 09:37:12 AM,37.06,0,0.0,7560030.169999998
2025-08-01 09:37:16 AM,37.06,35,1297.1000000000001,7561327.269999998
2025-08-01 09:37:16 AM,37.05,5,185.25,7561512.519999998
2025-08-01 09:37:18 AM,37.06,0,0.0,7561512.519999998
2025-08-01 09:37:23 AM,37.06,525,19456.5,7580969.019999998
2025-08-01 09:37:30 AM,37.04,80,2963.2,7583932.219999998
2025-08-01 09:37:37 AM,37.04,1,37.04,7583969.259999998
2025-08-01 09:37:49 AM,37.06,0,0.0,7583969.259999998
2025-08-01 09:37:50 AM,37.06,351,13008.060000000001,7596977.3199999975
2025-08-01 09:38:02 AM,37.03,0,0.0,7596977.3199999975
2025-08-01 09:38:03 AM,37.03,478,17700.34,7614677.659999997
2025-08-01 09:38:08 AM,37.01,0,0.0,7614677.659999997
2025-08-01 09:38:10 AM,37.0,2565,94905.0,7709582.659999997
2025-08-01 09:38:17 AM,36.99,288,10653.12,7720235.7799999975
2025-08-01 09:38:24 AM,36.98,2197,81245.06,7801480.839999997
2025-08-01 09:38:31 AM,37.01,2100,77721.0,7879201.839999997
2025-08-01 09:38:35 AM,37.0,0,0.0,7879201.839999997
2025-08-01 09:38:37 AM,37.0,210,7770.0,7886971.839999997
2025-08-01 09:38:39 AM,37.04,0,0.0,7886971.839999997
2025-08-01 09:38:44 AM,37.04,1,37.04,7887008.879999997
2025-08-01 09:39:04 AM,37.0,1272,47064.0,7934072.879999997
2025-08-01 09:39:11 AM,37.0,10,370.0,7934442.879999997
2025-08-01 09:39:24 AM,37.0,108,3996.0,7938438.879999997
2025-08-01 09:39:44 AM,36.96,500,18480.0,7956918.879999997
2025-08-01 09:39:56 AM,36.95,0,0.0,7956918.879999997
2025-08-01 09:39:57 AM,36.95,2000,73900.0,8030818.879999997
2025-08-01 09:40:01 AM,36.93,0,0.0,8030818.879999997
2025-08-01 09:40:04 AM,36.98,1013,37460.74,8068279.619999997
2025-08-01 09:40:12 AM,36.96,0,0.0,8068279.619999997
2025-08-01 09:40:14 AM,36.99,0,0.0,8068279.619999997
2025-08-01 09:40:17 AM,36.99,1104,40836.96,8109116.579999997
2025-08-01 09:40:21 AM,36.98,0,0.0,8109116.579999997
2025-08-01 09:40:23 AM,36.94,0,0.0,8109116.579999997
2025-08-01 09:40:23 AM,36.94,10934,403901.95999999996,8513018.539999997
2025-08-01 09:40:24 AM,36.98,2,73.96,8513092.499999998
2025-08-01 09:40:36 AM,36.98,76,2810.4799999999996,8515902.979999999
2025-08-01 09:40:47 AM,36.96,0,0.0,8515902.979999999
2025-08-01 09:40:50 AM,36.96,2448,90478.08,8606381.059999999
2025-08-01 09:41:02 AM,37.0,0,0.0,8606381.059999999
2025-08-01 09:41:03 AM,37.0,1500,55500.0,8661881.059999999
2025-08-01 09:41:07 AM,37.02,0,0.0,8661881.059999999
2025-08-01 09:41:10 AM,37.0,602,22274.0,8684155.059999999
2025-08-01 09:41:19 AM,36.99,0,0.0,8684155.059999999
2025-08-01 09:41:23 AM,36.99,455,16830.45,8700985.509999998
2025-08-01 09:41:29 AM,36.99,13,480.87,8701466.379999997
2025-08-01 09:41:30 AM,36.99,1001,37026.990000000005,8738493.369999997
2025-08-01 09:41:31 AM,37.0,0,0.0,8738493.369999997
2025-08-01 09:41:36 AM,37.0,2,74.0,8738567.369999997
2025-08-01 09:41:43 AM,36.99,0,0.0,8738567.369999997
2025-08-01 09:41:44 AM,36.99,4,147.96,8738715.329999998
2025-08-01 09:41:47 AM,37.0,0,0.0,8738715.329999998
2025-08-01 09:41:49 AM,37.0,589,21793.0,8760508.329999998
2025-08-01 09:41:56 AM,37.0,150,5550.0,8766058.329999998
2025-08-01 09:42:02 AM,37.0,50,1850.0,8767908.329999998
2025-08-01 09:42:03 AM,36.99,717,26521.83,8794430.159999998
2025-08-01 09:42:10 AM,36.99,8,295.92,8794726.079999998
2025-08-01 09:42:15 AM,36.99,13,480.87,8795206.949999997
2025-08-01 09:42:20 AM,37.0,0,0.0,8795206.949999997
2025-08-01 09:42:22 AM,37.0,600,22200.0,8817406.949999997
2025-08-01 09:42:30 AM,36.99,3,110.97,8817517.919999998
2025-08-01 09:42:35 AM,36.99,2,73.98,8817591.899999999
2025-08-01 09:42:41 AM,36.98,10,369.79999999999995,8817961.7
2025-08-01 09:42:48 AM,36.98,14,517.7199999999999,8818479.42
2025-08-01 09:42:49 AM,36.98,111,4104.78,8822584.2
2025-08-01 09:42:54 AM,36.98,157,5805.86,8828390.059999999
2025-08-01 09:43:01 AM,36.98,504,18637.92,8847027.979999999
2025-08-01 09:43:21 AM,37.0,6,222.0,8847249.979999999
2025-08-01 09:43:27 AM,37.0,13,481.0,8847730.979999999
2025-08-01 09:43:35 AM,37.0,50,1850.0,8849580.979999999
2025-08-01 09:43:40 AM,37.0,11,407.0,8849987.979999999
2025-08-01 09:44:10 AM,36.97,0,0.0,8849987.979999999
2025-08-01 09:44:14 AM,36.97,700,25879.0,8875866.979999999
2025-08-01 09:44:20 AM,36.99,0,0.0,8875866.979999999
2025-08-01 09:44:21 AM,36.99,8,295.92,8876162.899999999
2025-08-01 09:44:24 AM,36.97,0,0.0,8876162.899999999
2025-08-01 09:44:26 AM,36.95,0,0.0,8876162.899999999
2025-08-01 09:44:27 AM,36.95,7237,267407.15,9143570.049999999
2025-08-01 09:44:33 AM,36.95,1,36.95,9143606.999999998
2025-08-01 09:44:38 AM,36.96,0,0.0,9143606.999999998
2025-08-01 09:44:40 AM,36.96,1000,36960.0,9180566.999999998
2025-08-01 09:44:58 AM,36.95,0,0.0,9180566.999999998
2025-08-01 09:44:59 AM,36.95,49,1810.5500000000002,9182377.549999999
2025-08-01 09:45:06 AM,36.91,658,24286.78,9206664.329999998
2025-08-01 09:45:07 AM,36.9,101,3726.8999999999996,9210391.229999999
2025-08-01 09:45:12 AM,36.9,5,184.5,9210575.729999999
2025-08-01 09:45:19 AM,36.91,10,369.09999999999997,9210944.829999998
2025-08-01 09:45:32 AM,36.88,1,36.88,9210981.709999999
2025-08-01 09:45:38 AM,36.88,26,958.8800000000001,9211940.59
2025-08-01 09:45:45 AM,36.88,1,36.88,9211977.47
2025-08-01 09:45:51 AM,36.87,0,0.0,9211977.47
2025-08-01 09:45:51 AM,36.87,1,36.87,9212014.34
2025-08-01 09:46:05 AM,36.88,1,36.88,9212051.22
2025-08-01 09:46:09 AM,36.86,0,0.0,9212051.22
2025-08-01 09:46:10 AM,36.87,0,0.0,9212051.22
2025-08-01 09:46:11 AM,36.87,808,29790.96,9241842.180000002
2025-08-01 09:46:12 AM,36.85,147,5416.95,9247259.13
2025-08-01 09:46:19 AM,36.85,25,921.25,9248180.38
2025-08-01 09:46:24 AM,36.88,0,0.0,9248180.38
2025-08-01 09:46:25 AM,36.88,54,1991.5200000000002,9250171.9
2025-08-01 09:46:30 AM,36.85,1674,61686.9,9311858.8
2025-08-01 09:46:32 AM,36.85,10,368.5,9312227.3
2025-08-01 09:46:44 AM,36.85,10,368.5,9312595.8
2025-08-01 09:46:52 AM,36.82,0,0.0,9312595.8
2025-08-01 09:46:55 AM,36.82,59,2172.38,9314768.180000002
2025-08-01 09:47:12 AM,36.86,0,0.0,9314768.180000002
2025-08-01 09:47:14 AM,36.86,40,1474.4,9316242.580000002
2025-08-01 09:47:19 AM,36.85,0,0.0,9316242.580000002
2025-08-01 09:47:20 AM,36.85,201,7406.85,9323649.430000002
2025-08-01 09:47:28 AM,36.85,30,1105.5,9324754.930000002
2025-08-01 09:47:31 AM,36.82,0,0.0,9324754.930000002
2025-08-01 09:47:32 AM,36.82,567,20876.94,9345631.870000001
2025-08-01 09:47:59 AM,36.82,50,1841.0,9347472.870000001
2025-08-01 09:48:02 AM,36.82,6,220.92000000000002,9347693.790000001
2025-08-01 09:48:15 AM,36.82,1,36.82,9347730.610000001
2025-08-01 09:48:18 AM,36.85,0,0.0,9347730.610000001
2025-08-01 09:48:18 AM,36.85,2,73.7,9347804.31
2025-08-01 09:48:21 AM,36.85,1,36.85,9347841.16
2025-08-01 09:48:30 AM,36.81,0,0.0,9347841.16
2025-08-01 09:48:31 AM,36.81,766,28196.460000000003,9376037.620000001
2025-08-01 09:48:34 AM,36.82,0,0.0,9376037.620000001
2025-08-01 09:48:34 AM,36.82,16,589.12,9376626.74
2025-08-01 09:48:38 AM,36.8,0,0.0,9376626.74
2025-08-01 09:48:38 AM,36.8,2365,87032.0,9463658.74
2025-08-01 09:48:44 AM,36.77,2,73.54,9463732.28
2025-08-01 09:48:50 AM,36.79,0,0.0,9463732.28
2025-08-01 09:48:51 AM,36.79,101,3715.79,9467448.069999998
2025-08-01 09:48:58 AM,36.77,0,0.0,9467448.069999998
2025-08-01 09:49:00 AM,36.77,573,21069.210000000003,9488517.28
2025-08-01 09:49:06 AM,36.8,20,736.0,9489253.28
2025-08-01 09:49:10 AM,36.8,2,73.6,9489326.879999999
2025-08-01 09:49:10 AM,36.77,0,0.0,9489326.879999999
2025-08-01 09:49:12 AM,36.77,881,32394.370000000003,9521721.249999998
2025-08-01 09:49:14 AM,36.8,0,0.0,9521721.249999998
2025-08-01 09:49:16 AM,36.8,5,184.0,9521905.249999998
2025-08-01 09:49:21 AM,36.76,0,0.0,9521905.249999998
2025-08-01 09:49:22 AM,36.76,1000,36760.0,9558665.249999998
2025-08-01 09:49:33 AM,36.8,0,0.0,9558665.249999998
2025-08-01 09:49:34 AM,36.8,1845,67896.0,9626561.249999998
2025-08-01 09:49:36 AM,36.77,0,0.0,9626561.249999998
2025-08-01 09:49:37 AM,36.77,5859,215435.43000000002,9841996.679999998
2025-08-01 09:49:48 AM,36.81,0,0.0,9841996.679999998
2025-08-01 09:49:50 AM,36.81,100,3681.0,9845677.679999998
2025-08-01 09:49:53 AM,36.78,158,5811.24,9851488.919999998
2025-08-01 09:50:06 AM,36.76,555,20401.8,9871890.719999999
2025-08-01 09:50:08 AM,36.75,0,0.0,9871890.719999999
2025-08-01 09:50:09 AM,36.75,9855,362171.25,10234061.969999999
2025-08-01 09:50:26 AM,36.75,6,220.5,10234282.469999999
2025-08-01 09:50:37 AM,36.76,0,0.0,10234282.469999999
2025-08-01 09:50:38 AM,36.76,2903,106714.28,10340996.749999998
2025-08-01 09:50:44 AM,36.81,9,331.29,10341328.039999997
2025-08-01 09:50:47 AM,36.81,10,368.1,10341696.139999997
2025-08-01 09:51:03 AM,36.81,56,2061.36,10343757.499999996
